"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",9.88589126078308e-09,29,"Aerobic respiration ","Atp5me Atp5pd Cox7a2l Ndufa8 Ndufa7 Bloc1s1 Dnajc15 Ndufb9 Cox6c Ndufb8 Cox8b Cox4i1 Cox6a2 LOC100912599 Atp5mf Atp5mg Mt-nd6 Cox7c Mt-nd3 Ndufv2 Cox7a2l2 Uqcc3 LOC687508 LOC679739 Atp5f1e LOC100911516 Cox7b Uqcr10"
"A",2.67222445415142e-08,37,"ATP metabolic process ","Atp5me Fis1 Guk1 Atp5pd Cox7a2l Ndufa8 Ndufa7 Dnajc15 Ndufb9 Tspo Cox6c Nudt2 Atp5if1 Trem2 Ndufb8 Cox8b Cox4i1 Cox6a2 Ins2 LOC100912599 Atp5mf Atp5mg Mt-nd6 Cox7c Mt-nd3 AABR07034445.1 Ndufv2 Cox7a2l2 Uqcc3 LOC687508 LOC679739 Atp5f1e LOC100911515 LOC100911516 Cox7b Uqcr10"
"A",4.39081466951908e-08,21,"Mitochondrial respiratory chain complex assembly ","Ndufa8 Ndufa5 Ndufb11 Ndufa6 Ndufb9 Ndufb8 Ndufa2 Coa3 Uqcc2 Ndufb2 Ndufs5 LOC691921 Ndufb7 Mt-nd6 Ndufc1 Ndufaf8 Uqcc3 LOC108348144 Ndufaf2 Coa8 Cox14"
"A",4.39081466951908e-08,80,"Cellular protein-containing complex assembly ","Aif1 Higd1b Cox7a2l Washc3 Fmc1 Ndufa8 Ndufa5 Casq1 Ndufb11 Ndufa6 Itgb3bp Ndufb9 Sem1 Eif3m Cyba AC117101.1 Gpx4 Ndufb8 Snrpd2 LOC687679 H2bc1 H1f1 Ndufa2 Cdc42ep5 Mrpl20 LOC100911847 Taf10 Ramac Pycard Gmfg Coa3 Tmod4 Hopx Mzt1 Uqcc2 Ndufb2 Ndufs5 LOC691921 Ndufb7 Hist2h3c2 Mt-nd6 H2bu1 AABR07065438.1 Snrpg AABR07060145.1 Tmsb15b2 Ndufc1 Psmg4 Cenpk Ndufaf8 Cox7a2l2 Cenpw Uqcc3 LOC684762 LOC102549173 Hist2h2be LOC687508 H4f3 Tbca AABR07017250.1 RT1-DMb LOC102548682 LOC108348139 LOC108348144 Hist1h2bl Hist1h2bo Ndufaf2 H2bc12 AC120310.1 Psmd10 H2bc9 Coa8 AABR07012583.2 LOC684797 LOC102549061 LOC100365062 H1f5 Hist1h2bd Cox14"
"A",4.83840414687563e-08,20,"Nucleosome assembly ","Itgb3bp H2bc1 H1f1 Hist2h3c2 H2bu1 LOC684762 LOC102549173 Hist2h2be H4f3 LOC102548682 Hist1h2bl Hist1h2bo H2bc12 H2bc9 AABR07012583.2 LOC684797 LOC102549061 H1f5 Hist1h2bd"
"B",1.24248318920639e-15,282,"System development ","Foxo3 Numa1 Col11a2 Cpne5 Unc5b Rtkn2 Flt1 Aacs Camsap3 Ncor2 Pcnt Bcr Eln Whrn Dvl3 Clcn2 Heg1 Ibsp Dmp1 Tnr Tnn Lamc1 Mpz MAST1 Nptx1 Opn3 Col1a1 Sema6a Sh3pxd2b Notch3 Nfic Mb Syt2 Sema6d Myf6 Tlx3 Scrt2 Pclo Dlg5 Shh Arid1a Gpr37l1 Nectin1 Slc24a4 Smyd1 Dhcr24 Sptb Prex1 Hipk2 Atp1a2 Hes7 Tmem132e Klhl41 Smtnl1 Kcnj10 Slc9a1 Stac3 Mfap2 Nav1 Drd2 Actc1 Antxr1 Tbx3 Nefh Dpysl5 Cntn2 Tnni1 Aplnr Smarca4 Nr1d1 Hivep3 Sez6 Tfe3 Ripply2 Slc4a5 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Adgrf5 Clstn3 Atp1b2 Srcin1 Ncdn Myom2 Thsd1 Nfatc2 Supt6h Bcl9l Arhgef10 Postn Tenm3 Cnmd Lrig1 Rps6ka2 Scd Sema4d Jag2 Rasgrf1 Zfp536 Ece1 Pax2 Shc3 Adgrb2 Nav2 Sgcg Zfp423 Pigt Ret Tcf7l1 Sfrp5 Adgrg1 Kmt2a Sun2 Jup Stxbp1 Nlgn2 Klf13 Sox18 Col4a1 Cx3cl1 Clstn1 Clu Nrap Fgfr3 Pla2g2d Myh7 Ryr2 Selenon Lingo1 Map1b Ppargc1b Mmp9 Acta1 Actn2 Gab1 Slc12a5 Ank1 Chrna1 Cpne6 Agt Unc13a Camk2a Bcan Ntrk2 Fa2h Sema3g Ap3d1 Ndst1 Shank1 Notch1 Inpp5j Dag1 Lrrc4b Chrnd Bglap Actn3 Kcna1 Sypl2 Ptprf Myh14 Celsr2 LOC100911932 Agrn Atp1a3 Cntnap1 Sipa1l3 Ltbp3 Syvn1 Myl3 Rasip1 Mag AC095693.1 Nrxn2 Ecm1 Atrn AABR07073181.1 Reln Il17rd Cxcl10 Crtc1 Lingo4 Myorg Irs2 Mmp17 Kif1a Sdk2 Lrp1 Lmtk2 Agap2 Scrt1 Sez6l Slit1 Micall1 Ap2a1 MGC94199 Sez6l2 Map6 Dagla Ankrd11 Myrf Sox13 Tctn1 Kif26b Acan Hspb7 Adgrl1 Plxnb1 Cbs Faim Atp2b2 Nfasc Bsn Myl2 Fat1 Dchs1 Lmod3 Dysf Apc2 Efna5 Xirp2 Epha10 Ulk1 Kdm6b RT1-A1 Myoz1 Clstn2 Fasn LOC100909913 LOC103689931 Rbm24 C3 Rbm12 Myot Clic5 Ptprs Cntfr Wasf1 Gaa LOC108348055 ENSRNOG00000047790 Ncmap Rnf165 Trim62 Hapln4 LOC100909761 Slc6a17 Mtf1 LOC688583 Rfx4 Plcg2 Camk2b Dact3 Cdh4 Megf8 Celsr3 Daam2 AABR07034833.1 Dab2ip Ptprb Ski Sptbn4 Zswim8 Bicdl1 Ddr1 Myom1 Acta2 Col2a1 Sptbn2 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam Git1 Atp2b3 Cers1"
"B",2.78287999810306e-15,296,"Multicellular organism development ","Foxo3 Numa1 Col11a2 Cpne5 Unc5b Rtkn2 Flt1 Aacs Camsap3 Ncor2 Pcnt Bcr Eln Whrn Dvl3 Clcn2 Heg1 Ibsp Dmp1 Tnr Tnn Lamc1 Mpz MAST1 Nptx1 Opn3 Col1a1 Sema6a Sh3pxd2b Notch3 Nfic Mb Syt2 Sema6d Myf6 Vangl2 Tlx3 Scrt2 Pclo Dlg5 Shh Arid1a Gpr37l1 Nectin1 Slc24a4 Smyd1 Dhcr24 Sptb Prex1 Hipk2 Atp1a2 Hes7 Tmem132e Klhl41 Smtnl1 Kcnj10 Slc9a1 Stac3 Mfap2 Nav1 Drd2 Actc1 Antxr1 Tbx3 Nefh Dpysl5 Cntn2 Tnni1 Aplnr Smarca4 Nr1d1 Hivep3 Sez6 Tfe3 Ripply2 Prrc2b Slc4a5 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Adgrf5 Clstn3 Atp1b2 Srcin1 Ncdn Myom2 Thsd1 Nfatc2 Supt6h Bcl9l Arhgef10 Mmp15 Postn Tenm3 Cnmd Lrig1 Pcdh8 Cmip Rps6ka2 Cdh24 Scd Sema4d Jag2 Rasgrf1 Zfp536 Ece1 Pax2 Shc3 Adgrb2 Nav2 Sgcg Zfp423 Pigt Ret Tcf7l1 Apba1 Sfrp5 Adgrg1 Kmt2a Sun2 Jup Stxbp1 Nlgn2 Klf13 Sox18 Col4a1 Cx3cl1 Clstn1 Clu Nrap Fgfr3 Pla2g2d Myh7 Ryr2 Selenon Atp11a Lingo1 Map1b Ppargc1b Mmp9 Acta1 Actn2 Gab1 Slc12a5 Ank1 Chrna1 Cpne6 Agt Unc13a Camk2a Bcan Ntrk2 Fa2h Sema3g Ap3d1 Ndst1 Shank1 Notch1 Inpp5j Dag1 Lrrc4b Chrnd Bglap Actn3 Kcna1 Sypl2 Ptprf Myh14 Celsr2 LOC100911932 Agrn Atp1a3 Cntnap1 Ryr1 Sipa1l3 Ltbp3 Syvn1 Myl3 Rasip1 Mag AC095693.1 Nrxn2 Ecm1 Atrn AABR07073181.1 Reln Il17rd Cxcl10 Crtc1 Lingo4 Myorg Irs2 Mmp17 Kif1a Sdk2 Lrp1 Lmtk2 Agap2 Scrt1 Sez6l Slit1 Micall1 Ap2a1 MGC94199 Sez6l2 Map6 Dagla Ankrd11 Myrf Sox13 Tctn1 Kif26b Acan Hspb7 Adgrl1 Plxnb1 Cbs Faim Atp2b2 Nfasc Bsn Myl2 Fat1 Dchs1 Lmod3 Dysf Apc2 Efna5 Xirp2 Epha10 Ulk1 Kdm6b RT1-A1 Myoz1 Clstn2 Fasn LOC100909913 LOC103689931 Rbm24 C3 Rbm12 Myot Clic5 Ptprs Cntfr Wasf1 Gaa LOC108348055 ENSRNOG00000047790 Ncmap Rnf165 Trim62 Hoxa7 Hapln4 LOC100909761 Slc6a17 Mtf1 LOC688583 Rfx4 Hcfc1 Plcg2 Camk2b Dact3 Cdh4 Megf8 Cnot3 Celsr3 Daam2 AABR07034833.1 Dab2ip Ptprb Ski Sptbn4 Zswim8 Bicdl1 Nat8b Ddr1 Myom1 Acta2 Col2a1 Sptbn2 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam Git1 Atp2b3 Kmt2d Cers1"
"B",2.78287999810306e-15,171,"Nervous system development ","Foxo3 Cpne5 Unc5b Camsap3 Ncor2 Pcnt Bcr Whrn Dvl3 Tnr Tnn Lamc1 Mpz MAST1 Nptx1 Sema6a Notch3 Syt2 Sema6d Tlx3 Scrt2 Pclo Dlg5 Shh Arid1a Gpr37l1 Nectin1 Hipk2 Atp1a2 Hes7 Tmem132e Kcnj10 Nav1 Drd2 Tbx3 Nefh Dpysl5 Cntn2 Nr1d1 Sez6 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Clstn3 Atp1b2 Srcin1 Ncdn Arhgef10 Postn Tenm3 Lrig1 Sema4d Jag2 Rasgrf1 Zfp536 Pax2 Shc3 Adgrb2 Nav2 Zfp423 Pigt Ret Sfrp5 Adgrg1 Sun2 Stxbp1 Nlgn2 Col4a1 Cx3cl1 Clstn1 Clu Fgfr3 Lingo1 Map1b Slc12a5 Cpne6 Agt Unc13a Camk2a Bcan Ntrk2 Fa2h Sema3g Ndst1 Shank1 Notch1 Inpp5j Dag1 Lrrc4b Kcna1 Ptprf Celsr2 Agrn Atp1a3 Cntnap1 Mag AC095693.1 Nrxn2 Atrn Reln Crtc1 Lingo4 Irs2 Kif1a Sdk2 Lrp1 Lmtk2 Scrt1 Sez6l Slit1 Micall1 Ap2a1 MGC94199 Sez6l2 Map6 Dagla Myrf Sox13 Tctn1 Adgrl1 Plxnb1 Cbs Faim Atp2b2 Nfasc Bsn Dchs1 Apc2 Efna5 Epha10 Ulk1 Clstn2 C3 Rbm12 Myot Clic5 Ptprs Wasf1 Ncmap Rnf165 Hapln4 LOC100909761 Slc6a17 Mtf1 Rfx4 Camk2b Cdh4 Megf8 Celsr3 Daam2 Dab2ip Ski Sptbn4 Zswim8 Bicdl1 Ddr1 Col2a1 Sptbn2 Adcy1 Lamc3 Unc5a Plxna3 L1cam Git1 Atp2b3 Cers1"
"B",1.82873140493197e-12,72,"Cell junction organization ","Prrt1 Camsap3 Bcr Slc8a2 Whrn Heg1 Tnr Lamc1 Nlgn3 Pclo Dlg5 Nectin1 Slc6a1 Cntn2 Aplnr Sez6 Ctnnd2 Chrna7 Tmem108 Ank2 Clstn3 Srcin1 Thsd1 Cdh24 Sema4d Kifc3 Tns1 Dlgap3 Adgrb2 Sparcl1 Jup Nlgn2 Col4a1 Clstn1 Shisa7 Actn2 Chrna1 Agt Bcan Ntrk2 Shank1 Dag1 Lrrc4b Actn3 Pcdhgc3 Ptprf Agrn Cntnap1 Ptpn23 Nrxn2 Reln Lingo4 Plec Kif1a Sdk2 Lrp1 Sez6l Sez6l2 Adgrl1 Plxnb1 Atp2b2 Nfasc Bsn Ptprt Efna5 Clstn2 C3 Ptprs Wasf1 Dab2ip Sptbn2 L1cam"
"B",2.43982033144722e-12,305,"Anatomical structure development ","Foxo3 Numa1 Col11a2 Cpne5 Unc5b Rtkn2 Flt1 Aacs Camsap3 Ncor2 Pcnt Bcr Eln Whrn Dvl3 Clcn2 Heg1 Ibsp Dmp1 Fryl Tnr Tnn Lamc1 Mpz MAST1 Nptx1 Opn3 Col1a1 Sema6a Sh3pxd2b Notch3 Ccdc88c Nfic Mb Syt2 Sema6d Myf6 Vangl2 Tlx3 Scrt2 Syne3 Pclo Dlg5 Shh Arid1a Gpr37l1 Nectin1 Slc24a4 Smyd1 Dhcr24 Sptb Prex1 Hipk2 Atp1a2 Hes7 Tmem132e Klhl41 Smtnl1 Kcnj10 Slc9a1 Stac3 Mfap2 Nav1 Drd2 Actc1 Antxr1 Tbx3 Nefh Dpysl5 Cntn2 Tnni1 Aplnr Smarca4 Nr1d1 Hivep3 Sez6 Tfe3 Ripply2 Myo10 Prrc2b Slc4a5 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Adgrf5 Clstn3 Atp1b2 Srcin1 Ncdn Myom2 Thsd1 Nfatc2 Supt6h Bcl9l Arhgef10 Trdn Mmp15 Postn Tenm3 Cnmd Lrig1 Pcdh8 Cmip Rps6ka2 Cdh24 Scd Sema4d Jag2 Rasgrf1 Zfp536 Ece1 Pax2 Shc3 Adgrb2 Nav2 Sgcg Zfp423 Pigt Ret Tcf7l1 Apba1 Sfrp5 Adgrg1 Kmt2a Sun2 Jup Stxbp1 Nlgn2 Klf13 Sox18 Col4a1 Cx3cl1 Clstn1 Clu Nrap Fgfr3 Pla2g2d Myh7 Ryr2 Selenon Atp11a Lingo1 Map1b Ppargc1b Mmp9 Acta1 Actn2 Gab1 Slc12a5 Ank1 Chrna1 Cpne6 Agt Unc13a Camk2a Bcan Ntrk2 Fa2h Sema3g Ap3d1 Ndst1 Shank1 Notch1 Inpp5j Dag1 Lrrc4b Chrnd Bglap Actn3 Kcna1 Sypl2 Ptprf Myh14 Celsr2 LOC100911932 Agrn Atp1a3 Cntnap1 Ryr1 Sipa1l3 Ltbp3 Syvn1 Myl3 Rasip1 Mag AC095693.1 Nrxn2 Ecm1 Atrn AABR07073181.1 Reln Il17rd Cxcl10 Crtc1 Lingo4 Myorg Irs2 Mmp17 Kif1a Sdk2 Pde3a Lrp1 Lmtk2 Agap2 Scrt1 Sez6l Slit1 Micall1 Ap2a1 MGC94199 Sez6l2 Map6 Dagla Ankrd11 Myrf Sox13 Tctn1 Kif26b Acan Hspb7 Adgrl1 Plxnb1 Cbs Faim Atp2b2 Nfasc Bsn Myl2 Fat1 Dchs1 Lmod3 Dysf Apc2 Efna5 Xirp2 Epha10 Ulk1 Kdm6b RT1-A1 Myoz1 Clstn2 Eid2b Fasn Lmod2 Rfx2 LOC100909913 LOC103689931 Rbm24 C3 Rbm12 Myot Clic5 Ptprs Cntfr Wasf1 Gaa LOC108348055 ENSRNOG00000047790 Ncmap Rnf165 Trim62 Hoxa7 Hapln4 LOC100909761 Slc6a17 Mtf1 LOC688583 Rfx4 Hcfc1 Plcg2 Camk2b Dact3 Cdh4 Megf8 Cnot3 Celsr3 Daam2 AABR07034833.1 Dab2ip Ptprb Ski Sptbn4 Zswim8 Bicdl1 Nat8b Ddr1 Myom1 Acta2 Col2a1 Sptbn2 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam Git1 Atp2b3 Kmt2d Cers1"
"B",1.02472486000928e-11,123,"System process ","Foxo3 Prrt1 Col11a2 Nptx2 Nos1 Bcr Gtf2ird1 Slc8a2 Whrn Adcy5 Tnr Grin2c Nptx1 Nlgn3 Col1a1 Nfic Tlx3 Srl Gpr37l1 Ptges Slc6a1 Slc24a4 Hipk2 Atp1a2 Smtnl1 Kcnj10 Slc9a1 Stac3 Gjd2 Drd2 Actc1 Tbx3 Cntn2 Tnni1 Sez6 Slc4a5 Chrna7 Tmem108 Ank2 Tenm4 Adgrf5 Myom2 Trdn Postn Lrig1 Rps6ka2 Pgam2 Glra1 Jag2 Ece1 Nav2 Sgcg Kmt2a Tnnc2 Jup Nlgn2 Hmgcr Bace1 Shisa7 Myh7 Ryr2 Selenon Acta1 Actn2 Slc12a5 Chrna1 Ttbk1 Agt Ntrk2 Shank1 Notch1 Cep250 Dag1 Ecel1 Gnao1 Chrnd Mybpc2 Actn3 Kcna1 Myh14 Atp1a3 Tnni2 Cntnap1 Grik5 Tnnt3 Hrc Myl3 Mag Grin2d Nrxn2 Reln Crtc1 Pde3a Lrp1 Jph4 Scn4b Myrf Scn7a Cbs Atp1a1 Atp2b2 Nfasc Lmod3 Jsrp1 Myoz1 Lmod2 Cacna1s Myh3 Clic5 Gaa Kcne4 Myh4 Itpr3 Sptbn4 Mybpc1 Myom1 Acta2 Col2a1 Adcy1 Lamc3 AABR07030443.2 Cacna1g Git1"
"B",1.31143499112075e-11,53,"Synapse organization ","Prrt1 Slc8a2 Tnr Nlgn3 Pclo Dlg5 Nectin1 Slc6a1 Cntn2 Sez6 Ctnnd2 Chrna7 Tmem108 Clstn3 Srcin1 Sema4d Dlgap3 Adgrb2 Sparcl1 Nlgn2 Col4a1 Clstn1 Shisa7 Chrna1 Bcan Ntrk2 Shank1 Dag1 Lrrc4b Pcdhgc3 Ptprf Agrn Nrxn2 Reln Lingo4 Kif1a Sdk2 Sez6l Sez6l2 Adgrl1 Plxnb1 Atp2b2 Nfasc Bsn Ptprt Efna5 Clstn2 C3 Ptprs Wasf1 Dab2ip Sptbn2 L1cam"
"B",1.31143499112075e-11,50,"Muscle system process ","Foxo3 Gtf2ird1 Srl Atp1a2 Slc9a1 Stac3 Drd2 Actc1 Tbx3 Tnni1 Ank2 Myom2 Pgam2 Glra1 Tnnc2 Jup Myh7 Ryr2 Selenon Acta1 Actn2 Chrna1 Agt Notch1 Dag1 Chrnd Mybpc2 Actn3 Myh14 Atp1a3 Tnni2 Tnnt3 Hrc Myl3 Scn4b Scn7a Atp1a1 Lmod3 Jsrp1 Myoz1 Lmod2 Cacna1s Myh3 Gaa Kcne4 Myh4 Mybpc1 Myom1 Acta2 AABR07030443.2"
"B",1.44252318783788e-11,127,"Neurogenesis ","Foxo3 Cpne5 Unc5b Camsap3 Pcnt Whrn Dvl3 Tnr Tnn Lamc1 Nptx1 Sema6a Notch3 Syt2 Sema6d Tlx3 Scrt2 Dlg5 Shh Gpr37l1 Nectin1 Hipk2 Hes7 Tmem132e Kcnj10 Nav1 Drd2 Nefh Dpysl5 Cntn2 Nr1d1 Sez6 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Tenm4 Atp1b2 Srcin1 Ncdn Arhgef10 Postn Tenm3 Sema4d Jag2 Rasgrf1 Zfp536 Pax2 Nav2 Pigt Ret Adgrg1 Sun2 Stxbp1 Cx3cl1 Clu Fgfr3 Lingo1 Map1b Slc12a5 Cpne6 Agt Unc13a Camk2a Ntrk2 Fa2h Sema3g Shank1 Notch1 Inpp5j Dag1 Kcna1 Ptprf Celsr2 Cntnap1 Mag Reln Crtc1 Kif1a Sdk2 Lrp1 Lmtk2 Scrt1 Slit1 Micall1 Ap2a1 MGC94199 Map6 Dagla Myrf Sox13 Tctn1 Plxnb1 Faim Atp2b2 Nfasc Dchs1 Efna5 Epha10 Ulk1 C3 Rbm12 Myot Clic5 Ptprs Wasf1 Rnf165 LOC100909761 Camk2b Cdh4 Megf8 Celsr3 Daam2 Dab2ip Ski Sptbn4 Zswim8 Bicdl1 Ddr1 Adcy1 Lamc3 Unc5a Plxna3 L1cam Git1"
"B",1.70616015834194e-11,75,"Cellular component morphogenesis ","Cpne5 Unc5b Dvl3 Tnr Tnn Nptx1 Sema6a Syt2 Sema6d Shh Nectin1 Klhl41 Drd2 Actc1 Dpysl5 Cntn2 Ctnnd2 Chrna7 Tmem108 Ank2 Tenm4 Srcin1 Myom2 Postn Sema4d Ret Stxbp1 Nrap Fgfr3 Map1b Acta1 Actn2 Cpne6 Unc13a Sema3g Shank1 Notch1 Dag1 Myh14 Cntnap1 Reln Kif1a Lrp1 Lmtk2 Slit1 Map6 Tctn1 Plxnb1 Nfasc Lmod3 Efna5 Epha10 Ulk1 Myoz1 Lmod2 Rfx2 Rbm12 Myot Ptprs Wasf1 Rnf165 LOC100909761 Cdh4 Megf8 Celsr3 Dab2ip Sptbn4 Zswim8 Ddr1 Ldb3 Adcy1 Unc5a Plxna3 AABR07030443.2 L1cam"
"B",5.60319658135918e-11,145,"Cell development ","Foxo3 Cpne5 Unc5b Camsap3 Whrn Dvl3 Tnr Tnn Lamc1 Nptx1 Sema6a Ccdc88c Syt2 Sema6d Dlg5 Shh Gpr37l1 Nectin1 Prex1 Hes7 Tmem132e Klhl41 Kcnj10 Stac3 Mfap2 Drd2 Actc1 Antxr1 Tbx3 Nefh Dpysl5 Cntn2 Nr1d1 Sez6 Slc4a5 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Adgrf5 Atp1b2 Srcin1 Ncdn Myom2 Nfatc2 Arhgef10 Postn Tenm3 Rps6ka2 Sema4d Rasgrf1 Ret Stxbp1 Sox18 Clu Nrap Fgfr3 Selenon Lingo1 Map1b Acta1 Actn2 Slc12a5 Ank1 Cpne6 Agt Unc13a Camk2a Ntrk2 Fa2h Sema3g Shank1 Notch1 Inpp5j Dag1 Actn3 Sypl2 Ptprf Cntnap1 Sipa1l3 Mag Ecm1 Atrn Reln Crtc1 Myorg Kif1a Pde3a Lrp1 Lmtk2 Slit1 Micall1 Ap2a1 MGC94199 Map6 Myrf Tctn1 Acan Plxnb1 Faim Atp2b2 Nfasc Fat1 Lmod3 Dysf Efna5 Epha10 Ulk1 Myoz1 Fasn Lmod2 Rfx2 C3 Rbm12 Myot Clic5 Ptprs Wasf1 Rnf165 LOC100909761 Cdh4 Megf8 Celsr3 Daam2 AABR07034833.1 Dab2ip Ski Sptbn4 Zswim8 Bicdl1 Ddr1 Acta2 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam Git1 Kmt2d"
"B",1.52067007612786e-10,174,"Anatomical structure morphogenesis ","Foxo3 Col11a2 Cpne5 Unc5b Flt1 Camsap3 Ncor2 Pcnt Bcr Eln Whrn Dvl3 Dmp1 Fryl Tnr Tnn Lamc1 Nptx1 Col1a1 Sema6a Sh3pxd2b Notch3 Ccdc88c Nfic Syt2 Sema6d Myf6 Syne3 Dlg5 Shh Arid1a Nectin1 Slc24a4 Prex1 Hipk2 Hes7 Klhl41 Smtnl1 Mfap2 Drd2 Actc1 Antxr1 Tbx3 Dpysl5 Cntn2 Tnni1 Aplnr Ripply2 Myo10 Zmiz1 Ctnnd2 Chrna7 Tmem108 Ank2 Tenm4 Adgrf5 Srcin1 Myom2 Nfatc2 Supt6h Bcl9l Mmp15 Postn Tenm3 Cnmd Lrig1 Pcdh8 Cdh24 Sema4d Jag2 Ece1 Pax2 Adgrb2 Ret Tcf7l1 Sfrp5 Adgrg1 Jup Stxbp1 Sox18 Col4a1 Cx3cl1 Clu Nrap Fgfr3 Myh7 Ryr2 Map1b Ppargc1b Mmp9 Acta1 Actn2 Gab1 Cpne6 Agt Unc13a Ntrk2 Sema3g Ndst1 Shank1 Notch1 Dag1 Actn3 Myh14 LOC100911932 Cntnap1 Sipa1l3 Ltbp3 Myl3 Rasip1 Ecm1 Atrn AABR07073181.1 Reln Cxcl10 Kif1a Sdk2 Lrp1 Lmtk2 Slit1 MGC94199 Map6 Ankrd11 Tctn1 Kif26b Acan Plxnb1 Cbs Atp2b2 Nfasc Myl2 Fat1 Dchs1 Lmod3 Dysf Efna5 Epha10 Ulk1 Kdm6b Myoz1 Lmod2 Rfx2 LOC100909913 C3 Rbm12 Myot Clic5 Ptprs Wasf1 Gaa LOC108348055 ENSRNOG00000047790 Rnf165 LOC100909761 Cdh4 Megf8 Cnot3 Celsr3 AABR07034833.1 Dab2ip Ptprb Ski Sptbn4 Zswim8 Nat8b Ddr1 Col2a1 Sptbn2 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam"
"B",1.67342944349318e-10,40,"Muscle contraction ","Atp1a2 Slc9a1 Stac3 Drd2 Actc1 Tbx3 Ank2 Myom2 Pgam2 Glra1 Tnnc2 Jup Myh7 Ryr2 Actn2 Chrna1 Agt Chrnd Mybpc2 Actn3 Myh14 Atp1a3 Tnni2 Tnnt3 Myl3 Scn4b Scn7a Atp1a1 Lmod3 Jsrp1 Lmod2 Cacna1s Myh3 Gaa Kcne4 Myh4 Mybpc1 Myom1 Acta2 AABR07030443.2"
"B",1.88833930201992e-10,222,"Cell differentiation ","Foxo3 Numa1 Col11a2 Cpne5 Unc5b Aacs Camsap3 Ncor2 Pcnt Bcr Whrn Dvl3 Clcn2 Tnr Tnn Lamc1 Gdpd2 Nptx1 Opn3 Col1a1 Sema6a Sh3pxd2b Notch3 Ccdc88c Mb Syt2 Sema6d Myf6 Tlx3 Scrt2 Dlg5 Shh Arid1a Gpr37l1 Nectin1 Smyd1 Prex1 Hipk2 Hes7 Tmem132e Klhl41 Kcnj10 Slc9a1 Stac3 Mfap2 Nav1 Drd2 Actc1 Antxr1 Tbx3 Nefh Dpysl5 Cntn2 Aplnr Nr1d1 Hivep3 Sez6 Tfe3 Prrc2b Slc4a5 Zmiz1 Otp Ctnnd2 Chrna7 Tmem108 Clmn Ank2 Tenm4 Adgrf5 Atp1b2 Srcin1 Ncdn Myom2 Thsd1 Nfatc2 Lpl Supt6h Bcl9l Arhgef10 Trdn Mmp15 Postn Tenm3 Rps6ka2 Scd Sema4d Jag2 Rasgrf1 Zfp536 Pax2 Nav2 Pigt Ret Tcf7l1 Sfrp5 Adgrg1 Sun2 Stxbp1 Klf13 Sox18 Col4a1 Cx3cl1 Clu Nrap Fgfr3 Pla2g2d Selenon Atp11a Lingo1 Map1b Ppargc1b Mmp9 Acta1 Actn2 Slc12a5 Ank1 Cpne6 Agt Unc13a Camk2a Ntrk2 Fa2h Sema3g Ap3d1 Shank1 Notch1 Inpp5j Dag1 Bglap Actn3 Kcna1 Sypl2 Ptprf Celsr2 Agrn Cntnap1 Sipa1l3 Ltbp3 Syvn1 Rasip1 Mag Ecm1 Atrn Reln Il17rd Cxcl10 Crtc1 Myorg Kif1a Sdk2 Pde3a Lrp1 Lmtk2 Scrt1 Slit1 Micall1 Ap2a1 MGC94199 Map6 Dagla Myrf Sox13 Tctn1 Acan Plxnb1 Faim Atp2b2 Nfasc Fat1 Dchs1 Lmod3 Dysf Apc2 Efna5 Epha10 Ulk1 Kdm6b Myoz1 Eid2b Fasn Lmod2 Rfx2 LOC103689931 Rbm24 C3 Rbm12 Myot Clic5 Ptprs Wasf1 LOC108348055 ENSRNOG00000047790 Rnf165 Trim62 LOC100909761 Clip3 LOC688583 Plcg2 Camk2b Dact3 Cdh4 Megf8 Cnot3 Celsr3 Daam2 AABR07034833.1 Dab2ip Ski Sptbn4 Zswim8 Bicdl1 Ddr1 Acta2 Col2a1 Ldb3 Adcy1 Lamc3 Unc5a Plxna3 AABR07030443.2 L1cam Git1 Kmt2d"
