"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",3.08206805220733e-09,41,"Huntington disease","Polr2j Psmb1 Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Polr2k Sem1 Cox6c LOC100360846 Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Polr2g Cox6a2 Psmb4 Tuba1c LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Gpx1 Atp5f1e Psma2 Cox7b Gpx2 Uqcr10"
"A",3.3581760638911e-08,27,"Non-alcoholic fatty liver disease","Ndufb4 Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Cox6c Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Ins2 LOC100912599 Ndufb2 Ndufs5 Ndufb7 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Cox7b Uqcr10"
"A",7.2952707713134e-08,32,"Chemical carcinogenesis","Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Cox6c Cyba Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq LOC108348130 Atp5f1e Cox7b Uqcr10"
"A",1.40534418373825e-06,40,"Amyotrophic lateral sclerosis","Psmb1 Ndufb4 Atp5pd Cox7a2l Nxt1 Ndufa4 Ndufa8 Ndufa5 Ndufa7 Casp1 Ndufb11 Ndufa6 Ndufb9 Sem1 Cox6c LOC100360846 Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Psmb4 Tuba1c LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Gpx1 Atp5f1e Psma2 Cox7b Gpx2 Uqcr10"
"A",1.98624927963589e-06,23,"Retrograde endocannabinoid signaling","Ndufb4 Ndufa4 Ndufa8 Ndufa5 Gngt2 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Ndufb8 LOC108349548 Ndufa2 LOC100912599 Gng10 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Gng13 Ndufv2 Gng11"
"B",5.89306815528844e-05,17,"Aldosterone synthesis and secretion","Itpr2 Adcy5 Atp1a2 Kcnk9 Atp1b2 Agt Camk2a Atp1a3 Dagla Atp1a1 Atp2b2 Cacna1s Camk2b Itpr3 Adcy1 Cacna1g Atp2b3"
"B",6.12818479782581e-05,22,"Adrenergic signaling in cardiomyocytes","Slc8a2 Adcy5 Atp1a2 Slc9a1 Actc1 Atp1b2 Myh7 Ryr2 Agt Camk2a Atp1a3 Myl3 Scn4b Scn7a Atp1a1 Atp2b2 Myl2 Cacna1s Camk2b Cacng8 Adcy1 Atp2b3"
"B",0.000124321208036084,15,"Pancreatic secretion","Itpr2 Adcy5 Slc4a4 Atp1a2 Slc9a1 Atp1b2 Pla2g2d Pla2g2a Ryr2 Atp1a3 Atp1a1 Atp2b2 Itpr3 Adcy1 Atp2b3"
"B",0.000157220990928726,27,"Calcium signaling pathway","Flt1 Nos1 Slc8a2 Itpr2 Cacna1e Grin2c Tacr1 Chrna7 Grin1 Trdn Ret Tnnc2 Fgfr3 Ryr2 Camk2a Ntrk2 Ryr1 Hrc Grin2d Atp2b2 Cacna1s Plcg2 Camk2b Itpr3 Adcy1 Cacna1g Atp2b3"
"B",0.000157220990928726,15,"Cardiac muscle contraction","Slc8a2 Atp1a2 Slc9a1 Actc1 Atp1b2 Trdn Myh7 Ryr2 Atp1a3 Hrc Myl3 Atp1a1 Myl2 Cacna1s Cacng8"
"B",0.000265190400648767,14,"ECM-receptor interaction","Ibsp Dmp1 Tnr Tnn Lamc1 Col1a1 Itga7 Col4a1 Sv2c Vwf Agrn Reln Col2a1 Lamc3"
"B",0.000601339823724262,15,"Circadian entrainment","Nos1 Adcy5 Grin2c Rasd1 Grin1 Adcyap1r1 Ryr2 Camk2a Gnao1 Ryr1 Grin2d Camk2b Itpr3 Adcy1 Cacna1g"
"B",0.000654917329514088,13,"Insulin secretion","Adcy5 Pclo Atp1a2 Atp1b2 Adcyap1r1 Ryr2 Camk2a Atp1a3 Atp1a1 Cacna1s Camk2b Itpr3 Adcy1"
"B",0.000654917329514088,12,"Salivary secretion","Nos1 Itpr2 Adcy5 Atp1a2 Slc9a1 Atp1b2 Atp1a3 Atp1a1 Atp2b2 Itpr3 Adcy1 Atp2b3"
"B",0.000725449745812075,18,"Cell adhesion molecules","Selplg Mpz Nlgn3 Nectin1 Cntn2 Sdc3 Nlgn2 Lrrc4b Ptprf Cntnap1 Mag Nrxn2 Cd22 Nfasc Ncam1 RT1-A1 Cdh4 L1cam"
"B",0.000725449745812075,12,"Gastric acid secretion","Itpr2 Adcy5 Atp1a2 Kcnj10 Slc9a1 Atp1b2 Camk2a Atp1a3 Atp1a1 Camk2b Itpr3 Adcy1"
"B",0.000725449745812075,14,"Dilated cardiomyopathy","Slc8a2 Adcy5 Itga7 Actc1 Sgcg Myh7 Ryr2 Agt Dag1 Myl3 Myl2 Cacna1s Cacng8 Adcy1"
"B",0.000785953884924081,10,"Bile secretion","Adcy5 Slc4a4 Atp1a2 Slc9a1 Slc4a5 Atp1b2 Hmgcr Atp1a3 Atp1a1 Adcy1"
"B",0.00111159006637233,22,"CAMP signaling pathway","Adcy5 Grin2c Atp1a2 Slc9a1 Drd2 Gabbr2 Hcn2 LOC100912228 Atp1b2 Grin1 Adcyap1r1 Ryr2 Camk2a Atp1a3 Grin2d Pde3a Atp1a1 Atp2b2 Cacna1s Camk2b Adcy1 Atp2b3"
"B",0.00121956507386513,12,"Arrhythmogenic right ventricular cardiomyopathy","Slc8a2 Itga7 AABR07007000.1 Sgcg Tcf7l1 Jup Ryr2 Actn2 Dag1 Actn3 Cacna1s Cacng8"
