"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",1.79253333753254e-20,39,"Inner mitochondrial membrane protein complex ","Atp5me Atp5pd Pam16 Immp1l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Dnajc15 Ndufb9 Cox6c Ndufb8 Ndufa2 Cox4i1 Cox6a2 LOC100912599 Ndufb2 Ndufs5 Atp5mf Ndufv3 Ndufb7 Atp5mg Cox7c LOC691427 Mt-nd3 Ndufc1 Ndufv2 Atp5md LOC100910944 Uqcc3 Micos13 LOC679739 Dnajc19 Atp5f1e LOC108348144 Uqcr10"
"A",7.41504944803243e-20,53,"Mitochondrial protein-containing complex ","Atp5me Mrps18c Atp5pd Pam16 Immp1l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Dnajc15 Ndufb9 Cox6c Ndufb8 Mrpl18 Mrpl32 Ndufa2 Cox4i1 Mrpl20 Cox6a2 Mrpl54 LOC100912599 Mrps21 Mrpl33 Ndufb2 Ndufs5 Mrpl22 Atp5mf Ndufv3 Ndufb7 Atp5mg Cox7c LOC691427 Mt-nd3 Ndufc1 Mrpl52 Ndufv2 Atp5md Tomm7 LOC100910944 Uqcc3 Micos13 Tomm6 LOC679739 Dnajc19 Atp5f1e LOC108348144 LOC103692169 Mrpl50 Uqcr10 Tomm5"
"A",7.78999345045106e-20,331,"Protein-containing complex ","Atp5me Rpl10a Rpp21 Ly6g6d Polr1d Fis1 Polr2j Psmb1 Rfc4 Med21 Sdf2l1 Rplp2 Mrps18c B9d1 Naca Srp9 Cacng1 Atp5pd Jchain Pfdn2 Rpl23 Rpl26 Nhp2 Polr3h Pam16 Nxt1 Rpl19 Immp1l Erh Washc3 Sec61g Ndufa4 Ndufa8 Ndufa5 Rpl30 Gngt2 Trim54 Sec61b Snf8 Ndufa7 Ncf4 Rpl7 Casp1 LOC100911372 Bloc1s1 Gins1 Rpa3 Ndufb11 Anapc13 Rps20 Ndufa6 Ost4 Ift20 Dnajc15 Chrac1 Ndufb9 Naa38 Rps24 Eif4e3 Polr2k Sem1 Naa20 Ube3d Cox6c Bet1 LOC100360057 Rpl36a Rnf7 LOC100360846 Gchfr Slirp Eif3m Vamp8 Pfdn5 Cyba Il13ra1 Akap7 AC117101.1 Atp5if1 Rpl31 Gpx4 Ndufb8 Cks2 Sclt1 Rps2 Rpl27a AC109737.1 Mrpl18 Med31 Cox8b Paxx Aspnl1 Hypk Snrpd2 LOC108349548 Mrpl32 Eef1e1 Rps12 Fxyd2 LOC687679 Rps23 H2bc1 LOC108348136 Ciao2a H1f1 Rps3 Ndufa2 Cox4i1 Serf1 Dynlt1 Rps15a NEWGENE_2134 Ankrd1 Rpsa Mrpl20 Pfdn1 Rpl17 LOC100911847 Rpl18a Tnnc1 Psme1 Taf10 Psme2 Med11 Ramac Polr2g Rps5 Lsm7 Rps16 Pycard Cox6a2 Lamtor2 Anapc15 Best1 Ins2 Mrpl54 AC094246.1 Rps11 Snrnp25 Rpl27 LOC100360087 Psmb4 Rpl18 AABR07066818.1 S100a10 LOC100912599 Ybx1 Phf5a Eef1b2 Rps15 Mrps21 Gng10 Mrpl33 Ndufb2 Ndufs5 Lamtor4 Mrpl22 Atp5mf Dpy30 RGD1359290 Ndufv3 Eif3el1 Tnnt1 Kansl1l Derl3 ENSRNOG00000028243 Ndufb7 AC128901.1 Atp5mg Hist2h3c2 Dpm3 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 AABR07070957.1 Spc24 AABR07049329.1 AABR07042903.1 Cox7c LOC100362684 LOC100360750 ENSRNOG00000030374 LOC100364116 LOC100362149 H2ac20 LOC108348287 LOC498826 Snrpe LOC108349606 AABR07034639.1 Rpl36al Ftl1 H2bu1 LOC691427 AABR07065438.1 RGD1562378 Snrpg AABR07067814.1 LOC100360117 LOC100362027 AABR07060145.1 Ybx1-ps3 AC099453.1 H2aj AABR07064810.1 Rpl36 Mt-nd3 AABR07027015.1 AABR07007121.1 AC141489.1 Cops9 Scimp LOC100911575 Tmsb15b2 AABR07071891.1 LOC498555 Ndufc1 Fbxo15 AABR07026240.1 AABR07035539.1 Psmg4 Mrpl52 Gng13 Pigp Lsm5 Ndufv2 Cks1b Atp5md Tomm7 LOC100910944 Uqcc3 LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 Micos13 H3c1 Sf3b6 Tomm6 Hist1h3b Hist1h4m Dbi Bbip1 Hbb-bs Hba-a2 LOC108348098 Rpl7a Hist2h2aa3 Gng11 H2ac1 LOC100912489 H4f3 H2ac21 AABR07044509.1 AC109542.1 Cetn3 Hist1h4b Hist1h2ao AABR07028816.1 NEWGENE_1306399 AABR07017250.1 LOC679739 RT1-DMb LOC100912571 LOC103690013 Hist1h2ah Dnajc19 Atp5f1e Psma2 LOC100911668 Aspn LOC102548682 Sub1 Pfdn4 LOC100912564 LOC108348139 LOC100910554 LOC108348144 H2az2 LOC103692169 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Lage3 Mrpl50 Hist1h2bl Myl6 Hist1h2bo Rps8 Cox7b AABR07067762.1 H2bc12 AABR07050399.1 AC120310.1 Rfxap Hist1h2an Psmd10 LOC100912608 Hbb AABR07040624.1 H2bc9 LOC684773 Lsm8 AABR07050391.2 Rps9 Rbx1 Uqcr10 AABR07061378.1 AABR07012583.2 AC121204.2 LOC684797 AC114446.1 hist1h2ail2 LOC102549061 LOC100365062 AABR07073045.1 H1f5 LOC103690190 Hist1h2bd LOC100134871 Tomm5 Rpl13a"
"A",1.99667180975499e-18,283,"Non-membrane-bounded organelle ","Rpl10a Rpp21 Aif1 Polr1d Rpl21 Cstb Rfc4 Rplp2 Mrps18c B9d1 Rpl23 LOC108352650 Rpl26 Nhp2 Arl4a Polr3h Cox7a2l Rpl19 Cst3 Rpl30 Trim54 Neb Casq1 Rpl7 Svbp LOC100911372 Gins1 Rpl15 Rpa3 Rps7 Rps20 Ift20 Chrac1 Itgb3bp Chchd1 Rpl4 Rps24 Polr2k Rpl32 LOC100360057 Rpl29 Rpl36a S100a8 Rpl22l1 Rps3a S100a16 Spaca9 Mlf1 Pfdn5 Cyba Myl1 AC117101.1 Rpl31 Rbp1 Rplp1 Sclt1 Rps2 Rpl27a Rpl35 Csrp3 Mrpl18 Myoz2 Paxx Rpl13 Hypk Mrpl32 Sumo1 Ankrd23 Rpl12 Rpl34 Rps12 LOC687679 Pclaf Rps23 Tpm2 H2bc1 Rps27 LOC108348136 Rpl28 H1f1 Rps3 Dynlt1 Rps15a LOC100362339 Ankrd1 Cdc42ep5 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Sprn Tnnc1 Rpl14 Rps17 Rps5 Rps16 Pycard Des Uba52 Mrpl23 Mrpl54 AC094246.1 Rps11 Rpl27 Rdm1 Psmb4 LOC687780 Rpl18 Tmod4 LOC100363452 Tuba1c AABR07066818.1 Rpl23a Rpl37a Rpl5 Prdm5 Rps15 Mzt1 Mrps21 Mrpl33 Rpl6 Cetn4 Rpl11 Mrps33 LOC100360449 Mrpl22 RGD1359290 Rps13 Tnnt1 Rpl9 Rps18 LOC100362366 AC128901.1 AABR07072078.1 Rps29 Hist2h3c2 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 Spc24 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100360750 ENSRNOG00000030374 LOC100364116 LOC100364457 LOC100362149 LOC689899 H2ac20 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 H2bu1 AABR07065438.1 Cdyl RGD1562378 Snrpg AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 LOC100362027 AABR07060145.1 AC099453.1 H2aj AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AABR07007121.1 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 Cops9 LOC100911575 Tmsb15b2 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 Rbis AABR07035539.1 Mrpl52 Cenpk Rpl41 Rps28 Cenpw LOC103693375 LOC100909830 LOC684762 LOC102549173 Hist2h2be Hist2h4a LOC100365810 Hist2h4 H3c1 Hist1h3b Hist1h4m Dbi Hba-a2 LOC108348098 Rpl7a Hist2h2aa3 LOC100365839 H2ac1 LOC100912489 H4f3 H2ac21 AABR07044509.1 AC109542.1 Cetn3 Hist1h4b Hist1h2ao AABR07028816.1 NEWGENE_1306399 AABR07017250.1 LOC103690013 Hist1h2ah Psma2 Pin4 Rps27l LOC102548682 Sub1 LOC100912564 LOC100910554 H2az2 LOC103692169 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Mrpl50 Hist1h2bl Myl6 Hist1h2bo Rps8 Hilpda H2bc12 AABR07050399.1 AC120310.1 AABR07066944.1 Hist1h2an LOC103690068 Rpl10 Psmd10 H2bc9 Adig LOC684773 AABR07050391.2 Rps9 AABR07061378.1 AABR07012583.2 AC121204.2 LOC684797 AC114446.1 hist1h2ail2 LOC102549061 AABR07073045.1 H1f5 Rps21 LOC103690190 Hist1h2bd Rpl13a"
"A",1.99667180975499e-18,283,"Intracellular non-membrane-bounded organelle ","Rpl10a Rpp21 Aif1 Polr1d Rpl21 Cstb Rfc4 Rplp2 Mrps18c B9d1 Rpl23 LOC108352650 Rpl26 Nhp2 Arl4a Polr3h Cox7a2l Rpl19 Cst3 Rpl30 Trim54 Neb Casq1 Rpl7 Svbp LOC100911372 Gins1 Rpl15 Rpa3 Rps7 Rps20 Ift20 Chrac1 Itgb3bp Chchd1 Rpl4 Rps24 Polr2k Rpl32 LOC100360057 Rpl29 Rpl36a S100a8 Rpl22l1 Rps3a S100a16 Spaca9 Mlf1 Pfdn5 Cyba Myl1 AC117101.1 Rpl31 Rbp1 Rplp1 Sclt1 Rps2 Rpl27a Rpl35 Csrp3 Mrpl18 Myoz2 Paxx Rpl13 Hypk Mrpl32 Sumo1 Ankrd23 Rpl12 Rpl34 Rps12 LOC687679 Pclaf Rps23 Tpm2 H2bc1 Rps27 LOC108348136 Rpl28 H1f1 Rps3 Dynlt1 Rps15a LOC100362339 Ankrd1 Cdc42ep5 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Sprn Tnnc1 Rpl14 Rps17 Rps5 Rps16 Pycard Des Uba52 Mrpl23 Mrpl54 AC094246.1 Rps11 Rpl27 Rdm1 Psmb4 LOC687780 Rpl18 Tmod4 LOC100363452 Tuba1c AABR07066818.1 Rpl23a Rpl37a Rpl5 Prdm5 Rps15 Mzt1 Mrps21 Mrpl33 Rpl6 Cetn4 Rpl11 Mrps33 LOC100360449 Mrpl22 RGD1359290 Rps13 Tnnt1 Rpl9 Rps18 LOC100362366 AC128901.1 AABR07072078.1 Rps29 Hist2h3c2 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 Spc24 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100360750 ENSRNOG00000030374 LOC100364116 LOC100364457 LOC100362149 LOC689899 H2ac20 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 H2bu1 AABR07065438.1 Cdyl RGD1562378 Snrpg AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 LOC100362027 AABR07060145.1 AC099453.1 H2aj AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AABR07007121.1 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 Cops9 LOC100911575 Tmsb15b2 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 Rbis AABR07035539.1 Mrpl52 Cenpk Rpl41 Rps28 Cenpw LOC103693375 LOC100909830 LOC684762 LOC102549173 Hist2h2be Hist2h4a LOC100365810 Hist2h4 H3c1 Hist1h3b Hist1h4m Dbi Hba-a2 LOC108348098 Rpl7a Hist2h2aa3 LOC100365839 H2ac1 LOC100912489 H4f3 H2ac21 AABR07044509.1 AC109542.1 Cetn3 Hist1h4b Hist1h2ao AABR07028816.1 NEWGENE_1306399 AABR07017250.1 LOC103690013 Hist1h2ah Psma2 Pin4 Rps27l LOC102548682 Sub1 LOC100912564 LOC100910554 H2az2 LOC103692169 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Mrpl50 Hist1h2bl Myl6 Hist1h2bo Rps8 Hilpda H2bc12 AABR07050399.1 AC120310.1 AABR07066944.1 Hist1h2an LOC103690068 Rpl10 Psmd10 H2bc9 Adig LOC684773 AABR07050391.2 Rps9 AABR07061378.1 AABR07012583.2 AC121204.2 LOC684797 AC114446.1 hist1h2ail2 LOC102549061 AABR07073045.1 H1f5 Rps21 LOC103690190 Hist1h2bd Rpl13a"
"B",8.69777494497024e-16,40,"Contractile fiber ","Flnc Klhl41 Smpx Smtnl1 Abra Actc1 Tnni1 Ank2 Myom2 Tnnc2 Jup Nrap Myh7 Ryr2 Acta1 Actn2 Ank1 Dag1 Actn3 Tnni2 Tnnt3 Ryr1 Hrc Myl3 Plec AC141959.1 Myl2 Lmod3 Myoz1 Lmod2 Cacna1s Myh3 Myot Myh4 LOC100909761 Myom1 Acta2 Obscn Ldb3 AABR07030443.2"
"B",9.99995077638271e-15,35,"Sarcomere ","Flnc Klhl41 Smpx Smtnl1 Abra Actc1 Tnni1 Ank2 Myom2 Tnnc2 Jup Nrap Myh7 Ryr2 Acta1 Actn2 Ank1 Actn3 Tnni2 Tnnt3 Ryr1 Hrc Myl3 AC141959.1 Lmod3 Myoz1 Lmod2 Cacna1s Myot Myh4 LOC100909761 Myom1 Obscn Ldb3 AABR07030443.2"
"B",1.03124342252097e-14,37,"Myofibril ","Flnc Klhl41 Smpx Smtnl1 Abra Actc1 Tnni1 Ank2 Myom2 Tnnc2 Jup Nrap Myh7 Ryr2 Acta1 Actn2 Ank1 Dag1 Actn3 Tnni2 Tnnt3 Ryr1 Hrc Myl3 AC141959.1 Myl2 Lmod3 Myoz1 Lmod2 Cacna1s Myot Myh4 LOC100909761 Myom1 Obscn Ldb3 AABR07030443.2"
"B",2.25757066002134e-13,92,"Integral component of plasma membrane ","Flt1 Slc8a2 Clcn2 Mpz Grin2c Opn3 Nlgn3 Sema6a Sema6d Scn8a Slc6a11 Nectin1 Slc6a1 Slc24a4 Sorcs2 Atp1a2 Rnf43 Itga7 Slc9a1 Drd2 Gabbr2 Hcn2 Chrna7 Ank2 Tenm4 Clstn3 Atp1b2 Kcnq2 Grin1 Npc1 Mmp15 Tenm3 Glra1 Sema4d Jag2 Adgrb2 Ret Nlgn2 Kcng4 Clstn1 Slc22a17 Fgfr3 Bace1 Shisa7 Atp11a Slc12a5 Chrna1 Ntrk2 Shank1 Slc6a9 Chrnd Kcna1 Kcnc3 Pcdhb14 LOC108348233 Atp1a3 Grik5 Mag Grin2d Hjv Cd22 Lrp1 Lmtk2 Scn4b Dagla Gpr101 Lrrc55 Adgrl1 Trabd2b Scn7a Plxnb1 Atp1a1 Atp2b2 Ptprt Epha10 Pcdhb19 Clstn2 Ptprs Cntfr Ncmap Kcne4 AABR07044759.1 Slc6a17 Slc29a2 Cdh4 Itpr3 Kcnc1 Ddr1 Adcy1 Pcdh1 Kcnc4 Atp2b3"
"B",5.34595532600582e-13,131,"Cell junction ","Prrt1 Camsap3 Nptx2 Slc29a4 Bcr Slc8a2 Dvl3 Heg1 Tnr Tnn Lamc1 Grin2c Nptx1 Nlgn3 Ccdc88c Syt2 Ptprn2 Scn8a Slc6a11 Pclo Dlg5 Nectin1 Sorcs2 Atp1a2 Smpx Tspoap1 Stac3 Syn2 Gjd2 Drd2 Actc1 Synpo2l Amotl1 Cntn2 Tnks1bp1 Hepacam Nr1d1 Sez6 Syn1 Ctnnd2 Chrna7 Tmem108 Ank2 Clstn3 Atp1b2 Prag1 Grin1 Thsd1 Dlgap2 Postn Cdh24 Glra1 Iqsec3 Kifc3 Tns1 Capn5 Dlgap3 Apba1 Sparcl1 Jup Stxbp1 Nlgn2 Clstn1 Clu Nrap Bace1 Shisa7 Map1b Actn2 Gab1 Sv2c Slc12a5 Ank1 Chrna1 Tln2 Camk2a Bcan Ntrk2 Atg9a Ap3d1 Shank1 Bcar1 Notch1 Ablim3 Dag1 Chrnd Syt9 Actn3 Kcna1 Sypl2 Agrn Dlgap4 Atp1a3 Cntnap1 Grik5 Sipa1l3 Rasip1 Grin2d Crtc1 Plec Kif1a Sdk2 Scn4b Dagla Acan Adgrl1 Atp1a1 Atp2b2 Bsn Fat1 Ptprt Apc2 Dnm1 Efna5 Xirp2 Clstn2 LOC103689931 Ptprs Wasf1 Myh4 Nlrx1 Ank3 Sptbn4 Obscn Sptbn2 Ldb3 Adcy1 Pcdh1 Cacna1g Git1 Atp2b3"
